Well,562:562
A1,2.109
B1,0.286
C1,1.261
D1,0.959
E1,0.903
F1,0.042
G1,0.043
H1,0.044
A2,2.547
B2,0.29
C2,1.121
D2,0.965
E2,0.78
F2,0.044
G2,0.044
H2,0.043
A3,1.857
B3,0.095
C3,0.93
D3,0.796
E3,0.736
F3,0.044
G3,0.044
H3,0.044
A4,1.857
B4,0.099
C4,1.362
D4,0.843
E4,0.976
F4,0.045
G4,0.044
H4,0.045
A5,1.564
B5,0.121
C5,1.411
D5,0.608
E5,0.959
F5,0.044
G5,0.044
H5,0.046
A6,1.447
B6,0.121
C6,1.327
D6,0.726
E6,0.859
F6,0.046
G6,0.046
H6,0.046
A7,1.036
B7,0.922
C7,1.126
D7,0.735
E7,0.748
F7,0.046
G7,0.046
H7,0.044
A8,1.095
B8,0.968
C8,1.091
D8,0.854
E8,0.896
F8,0.049
G8,0.046
H8,0.043
A9,0.781
B9,0.767
C9,0.745
D9,0.827
E9,0.428
F9,0.045
G9,0.045
H9,0.044
A10,0.831
B10,1.053
C10,0.754
D10,1.039
E10,0.47
F10,0.081
G10,0.044
H10,0.045
A11,0.445
B11,1.769
C11,0.986
D11,0.802
E11,0.044
F11,0.045
G11,0.046
H11,0.049
A12,0.486
B12,2.018
C12,1.073
D12,0.959
E12,0.044
F12,0.044
G12,0.057
H12,0.044
