colony_id,surface.area.cm2,timepoint
POC-470,23.716621881829518,FEB
POC-467,58.84078757816995,FEB
POC-471,12.85480302971329,FEB
POC-475,47.75401981491523,FEB
POC-474,23.877299675499906,FEB
POC-472,17.353781252483326,FEB
POC-473,43.22290603341106,FEB
POC-468,20.342388214752027,FEB
POC-466,35.41396526103166,FEB
POC-469,22.688284002339223,FEB
POC-481,40.10575683620617,FEB
POC-476,14.140225379076162,FEB
POC-480,13.208294175788083,FEB
POC-483,20.79228603702901,FEB
POC-485,37.40636990254409,FEB
POC-477,20.406659332220165,FEB
POC-478,30.240140304846122,FEB
POC-482,33.26088282584885,FEB
POC-484,19.571134805134278,FEB
POC-479,36.602980934192345,FEB
