full_sample_id,prot_ug,prot_ug.cm2,partner
POC-466-20220315,23063.177633635347,1136.5644244459045,holobiont
POC-467-20220315,27045.674377092935,828.3210680224809,holobiont
POC-468-20220315,34443.295944465586,1478.4135439568468,holobiont
POC-469-20220315,52335.12451249185,965.9473248267711,holobiont
POC-470-20220315,30112.009179135624,850.3499760195784,holobiont
POC-471-20220315,88805.07630060357,1534.006875265463,holobiont
POC-472-20220315,12570.786184091712,644.832815757384,holobiont
POC-473-20220315,9260.4517946848,280.9784112342595,holobiont
POC-474-20220315,24433.968447977713,821.6484322941051,holobiont
POC-475-20220315,42148.486894762056,1436.5998798542616,holobiont
POC-476-20220316,34907.34351015068,964.8773291369332,holobiont
POC-477-20220316,11073.145588696463,772.0551931961189,holobiont
POC-478-20220316,53281.83882418845,946.9713612419439,holobiont
POC-479-20220316,25023.29743393648,1045.1851371595928,holobiont
POC-480-20220316,6733.3095453004025,607.0625423135114,holobiont
POC-481-20220316,29802.92087246492,787.0888169567609,holobiont
POC-482-20220316,19474.747129450087,888.5513801277827,holobiont
POC-483-20220316,63326.0640743066,1362.3651686726723,holobiont
POC-484-20220316,39054.424481592025,989.7348200429259,holobiont
POC-485-20220316,32125.333950989396,490.9485031154744,holobiont
